State,One_Month_Cases,One_month_fatality_rate,Total_Deaths,Positive_Test_Rate,HDI,Rank_health,Gross_State_Product,Mobility,doses_per_hundred,assess_to_vaccines_per_hundred,HospitalBeds,lockdown_severity,respiratory_mortality_rate,respiratory_infections_rate,obesity_prevalence,Score,Rank
Minnesota,46505,0.141,6268,0.074,0.947,10,411.8,-118.38,10.2,13.37,1.953,291,0.472 ,0.179 ,0.295,0.58,4
Mississippi,59190,0.208,6045,0.175,0.863,50,128.6,-70.74,9.61,12.28,1.991,7,0.690 ,0.401 ,0.357,0.36,47
Missouri,70118,0.191,7041,0.114,0.905,41,362,-83.18,8.55,11.32,1.447,263,0.623 ,0.302 ,0.331,0.4,41
Montana,12394,0.221,1233,0.098,0.917,28,56.6,-48.76,10.22,13.97,5.728,228,0.656 ,0.231 ,0.258,0.58,6
Nebraska,23915,0.14,1920,0.091,0.934,27,136.4,-95.15,8.93,12.81,2.438,252,0.629 ,0.230 ,0.333,0.51,20
Nevada,53577,0.269,4270,0.112,0.902,31,195,-127.68,9.72,12.31,1.051,219,0.646 ,0.329 ,0.269,0.41,38
New Hampshire,21667,0.282,1057,0.052,0.943,16,97.3,-77.51,9.62,13.54,1.084,92,0.552 ,0.204 ,0.302,0.56,9
New Jersey,167802,0.114,21484,0.074,0.943,6,699.9,-109.89,10.26,13.47,1.109,302,0.404 ,0.280 ,0.277,0.54,15
New Mexico,31200,0.246,3283,0.074,0.9,34,112.9,-123.63,12.6,17.64,1.056,337,0.563 ,0.239 ,0.251,0.5,21
New York,441124,0.13,43634,0.044,0.942,13,1881.6,-123.97,9.61,13.47,1.132,384,0.391 ,0.310 ,0.264,0.48,27
North Carolina,217981,0.277,9335,0.085,0.905,30,641.4,-95.02,10.01,13.18,1.303,355,0.596 ,0.315 ,0.299,0.41,37
North Dakota,5134,0.102,1447,0.073,0.942,38,60.8,-73.02,11.93,17.53,2.967,155,0.481 ,0.226 ,0.341,0.62,2
Ohio,195412,0.198,11175,0.099,0.913,35,755.8,-80.04,9.48,12.48,1.448,285,0.625 ,0.279 ,0.336,0.43,34
Oklahoma,98536,0.298,3547,0.122,0.894,47,219.8,-75.66,11.43,15.88,1.799,206,0.760 ,0.313 ,0.353,0.4,40
Oregon,28507,0.245,1957,0.045,0.929,17,276.3,-84.46,10.3,13.97,1.302,329,0.557 ,0.165 ,0.29,0.54,13
Pennsylvania,200656,0.262,21617,0.189,0.922,21,884.6,-98.7,9.5,12.46,1.387,305,0.500 ,0.289 ,0.313,0.41,36
Rhode Island,26489,0.175,2154,0.046,0.92,5,69.7,-101.11,8.47,12.08,1.037,314,0.472 ,0.258 ,0.282,0.52,18
South Carolina,135879,0.248,7042,0.105,0.89,36,271.4,-75.42,9.47,12.21,1.19,237,0.625 ,0.288 ,0.317,0.41,39
South Dakota,9086,0.163,1778,0.269,0.929,32,57.2,-20.31,11.06,16.02,2.245,80,0.540 ,0.245 ,0.302,0.56,12
Tennessee,141059,0.284,9650,0.113,0.892,43,415.4,-81.56,8.71,12.69,1.383,240,0.653 ,0.341 ,0.33,0.36,49
Texas,603560,0.243,37074,0.137,0.909,37,2067.4,-90.94,9.47,12.79,1.535,234,0.533 ,0.293 ,0.315,0.38,45
Utah,70012,0.238,1665,0.133,0.93,9,208.7,-74.4,9.58,15.92,1.154,95,0.462 ,0.267 ,0.27,0.57,8
Vermont,4553,0.218,174,0.013,0.936,11,38.1,-132.31,10.74,15.53,1.128,387,0.563 ,0.168 ,0.276,0.56,11
Virginia,155195,0.222,6464,0.096,0.929,18,603.4,-126.92,11.07,14.33,1.151,283,0.509 ,0.328 ,0.294,0.48,24
Washington,64845,0.192,4285,0.069,0.94,4,664.9,-84.27,10.47,13.66,1.559,358,0.513 ,0.174 ,0.29,0.58,5
West Virginia,35667,0.339,2024,0.062,0.872,48,82.8,-108.95,12.63,19.02,2.215,228,0.806 ,0.333 ,0.39,0.39,42
Wisconsin,71702,0.185,6434,0.096,0.928,14,375.6,-86.05,10.99,14.19,1.1,263,0.501 ,0.229 ,0.319,0.54,16
Wyoming,7503,0.265,596,0.082,0.932,42,42.1,-67.87,10.57,13.74,2.132,231,0.720 ,0.287 ,0.289,0.48,26
